ANT1,20.65,0.60,0.00,2450AT18B100E_2450AT18B100E,2450AT18B100E_ANTC3216X140N
C1,16.16,6.60,180.00,12pF,NORDIC_NRF_3_RESC0201_L
C1-EP-DR,-8.05,1.73,0.00,10uF,PERFECT_0402_0402
C10,17.34,6.60,180.00,N.C.,NORDIC_NRF_3_RESC0201_L
C11,18.10,1.19,90.00,100pF,NORDIC_NRF_3_RESC0201_L
C12,14.52,5.14,90.00,100nF,NORDIC_NRF_3_RESC0201_L
C13,13.72,2.70,180.00,N.C.,NORDIC_NRF_3_RESC0201_L
C14,9.75,2.81,0.00,4.7uF,PERFECT_0402_0402
C15,12.14,2.81,0.00,1.0uF,PERFECT_0402_0402
C16,16.84,-1.80,0.00,47nF,NORDIC_NRF_3_RESC0201_L
C17,4.29,2.10,0.00,12pF,NORDIC_NRF_3_RESC0201_L
C18,4.24,-0.10,0.00,12pF,NORDIC_NRF_3_RESC0201_L
C19,-10.01,-10.60,0.00,100nF,NORDIC_NRF_3_RESC0201_L
C2,15.39,5.10,90.00,12pF,NORDIC_NRF_3_RESC0201_L
C2-EP-DR,-3.00,-5.37,0.00,4.7uF/25V,PERFECT_0402_0402
C20,7.63,-1.89,180.00,4.7uF,PERFECT_0402_0402
C21,9.51,-6.12,270.00,4.7uF,PERFECT_0402_0402
C22,17.80,-1.90,270.00,N.C.,NORDIC_NRF_3_RESC0201_L
C23,1.53,7.98,180.00,0.1uF,GRM011R60J152KE01L_1_0201
C24,-10.90,16.21,0.00,10uF,PERFECT_0402_0402
C25,-11.61,14.61,0.00,22uF,PERFECT_0402_0402
C27,-1.93,6.22,0.00,0.1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C29,10.88,-11.75,90.00,1uF,NORDIC_NRF_3_RESC0402_L
C3,16.42,1.60,90.00,1pF,NORDIC_NRF_3_RESC0201_L
C30,-8.65,-13.16,90.00,1uF,NORDIC_NRF_3_RESC0402_L
C31,-0.02,-11.93,90.00,1uF,NORDIC_NRF_3_RESC0402_L
C32,18.93,-7.18,270.00,1uF,NORDIC_NRF_3_RESC0402_L
C33,-11.32,12.91,0.00,22uF,PERFECT_0402_0402
C34,18.03,-11.08,0.00,0.1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C37,2.73,6.70,180.00,1uF,NORDIC_NRF_3_RESC0402_L
C38,2.61,9.32,180.00,1uF,NORDIC_NRF_3_RESC0402_L
C39,2.68,8.15,180.00,10uF,NORDIC_NRF_3_RESC0402_L
